freq,psd_x,psd_y,psd_z,psd_xyz,zv(45.0),mzv(42.6),ei(39.0),2hump_ei(62.8),3hump_ei(75.2)
185.6,1.211e+01,3.563e+02,3.465e+01,4.031e+02,0.627,0.172,0.157,0.047,0.060
187.1,1.571e+01,3.719e+02,3.236e+01,4.200e+02,0.618,0.176,0.154,0.047,0.056
188.6,1.908e+01,4.269e+02,3.293e+01,4.789e+02,0.608,0.181,0.151,0.047,0.053
190.1,1.932e+01,4.511e+02,3.024e+01,5.007e+02,0.597,0.186,0.149,0.047,0.050
191.6,1.730e+01,4.457e+02,2.799e+01,4.910e+02,0.584,0.192,0.148,0.048,0.047
193.1,1.423e+01,4.213e+02,2.688e+01,4.624e+02,0.570,0.198,0.147,0.049,0.045
194.6,9.516e+00,3.658e+02,2.405e+01,3.994e+02,0.555,0.204,0.146,0.049,0.043
196.1,4.574e+00,3.013e+02,1.949e+01,3.254e+02,0.539,0.210,0.147,0.050,0.041
197.6,3.481e+00,2.671e+02,1.857e+01,2.891e+02,0.522,0.228,0.148,0.052,0.039
199.1,2.906e+00,2.552e+02,1.967e+01,2.778e+02,0.504,0.247,0.149,0.053,0.038
