freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.998e+03,3.199e+01,1.606e+01,4.046e+03
1.5,2.420e+04,3.416e+01,3.466e+01,2.427e+04
3.1,8.079e+03,1.556e+01,2.522e+01,8.120e+03
4.6,2.800e+03,1.264e+01,2.604e+01,2.839e+03
6.1,1.567e+03,1.213e+01,2.399e+01,1.603e+03
7.7,1.052e+03,1.231e+01,2.126e+01,1.085e+03
9.2,7.786e+02,1.176e+01,1.966e+01,8.101e+02
10.7,5.304e+02,1.237e+01,1.970e+01,5.625e+02
12.3,4.481e+02,1.296e+01,2.408e+01,4.852e+02
13.8,4.553e+02,1.380e+01,3.105e+01,5.002e+02
15.3,4.508e+02,1.610e+01,3.142e+01,4.983e+02
16.9,4.350e+02,1.587e+01,3.191e+01,4.828e+02
18.4,1.310e+03,1.668e+01,4.381e+01,1.370e+03
19.9,1.549e+04,2.753e+01,4.925e+01,1.557e+04
21.5,4.048e+04,9.038e+01,6.161e+01,4.063e+04
23.0,5.785e+04,4.492e+02,1.075e+02,5.841e+04
24.6,6.963e+04,1.767e+03,2.459e+02,7.165e+04
26.1,6.982e+04,3.198e+03,3.657e+02,7.338e+04
27.6,7.147e+04,3.118e+03,3.704e+02,7.495e+04
29.2,6.315e+04,1.949e+03,4.110e+02,6.551e+04
30.7,5.400e+04,1.071e+03,7.039e+02,5.578e+04
32.2,6.250e+04,7.759e+02,1.010e+03,6.429e+04
33.8,8.330e+04,8.407e+02,1.553e+03,8.569e+04
35.3,1.150e+05,1.337e+03,3.457e+03,1.198e+05
36.8,1.637e+05,2.331e+03,7.238e+03,1.733e+05
38.4,2.038e+05,4.704e+03,1.668e+04,2.252e+05
39.9,2.523e+05,7.240e+03,3.181e+04,2.913e+05
41.4,3.462e+05,9.076e+03,4.886e+04,4.041e+05
43.0,5.048e+05,1.108e+04,5.565e+04,5.716e+05
44.5,7.636e+05,9.725e+03,3.540e+04,8.087e+05
46.0,1.134e+06,1.117e+04,2.560e+04,1.171e+06
47.6,1.906e+06,1.611e+04,3.184e+04,1.954e+06
49.1,2.884e+06,1.770e+04,3.829e+04,2.940e+06
50.6,3.338e+06,1.369e+04,3.534e+04,3.387e+06
52.2,3.391e+06,1.110e+04,2.812e+04,3.430e+06
53.7,2.901e+06,9.176e+03,1.903e+04,2.930e+06
55.2,2.456e+06,7.563e+03,1.168e+04,2.476e+06
56.8,2.001e+06,8.400e+03,5.789e+03,2.015e+06
58.3,1.545e+06,1.031e+04,2.724e+03,1.558e+06
59.8,1.184e+06,1.135e+04,1.848e+03,1.197e+06
61.4,8.966e+05,1.121e+04,2.245e+03,9.101e+05
62.9,7.245e+05,8.763e+03,3.527e+03,7.368e+05
64.4,5.887e+05,6.059e+03,4.125e+03,5.989e+05
66.0,4.760e+05,6.919e+03,3.285e+03,4.862e+05
67.5,3.820e+05,7.490e+03,2.736e+03,3.923e+05
69.1,2.624e+05,7.555e+03,6.662e+03,2.766e+05
70.6,2.825e+05,9.580e+03,1.135e+04,3.034e+05
72.1,3.967e+05,1.213e+04,5.185e+03,4.140e+05
73.7,3.945e+05,1.280e+04,1.690e+03,4.090e+05
75.2,3.541e+05,1.171e+04,1.347e+03,3.672e+05
76.7,3.144e+05,8.031e+03,1.559e+03,3.240e+05
78.3,2.912e+05,5.423e+03,1.571e+03,2.982e+05
79.8,2.655e+05,5.459e+03,1.389e+03,2.724e+05
81.3,2.467e+05,6.363e+03,1.172e+03,2.542e+05
82.9,2.314e+05,7.478e+03,9.835e+02,2.398e+05
84.4,2.189e+05,8.914e+03,8.881e+02,2.287e+05
85.9,2.108e+05,1.003e+04,7.411e+02,2.216e+05
87.5,1.973e+05,1.172e+04,6.625e+02,2.097e+05
89.0,1.862e+05,1.303e+04,5.972e+02,1.998e+05
90.5,1.817e+05,1.532e+04,5.664e+02,1.976e+05
92.1,1.773e+05,1.750e+04,6.503e+02,1.954e+05
93.6,1.785e+05,1.826e+04,7.758e+02,1.975e+05
95.1,1.843e+05,1.928e+04,7.967e+02,2.044e+05
96.7,1.904e+05,2.037e+04,7.549e+02,2.115e+05
98.2,1.996e+05,2.241e+04,7.678e+02,2.228e+05
99.7,2.039e+05,2.530e+04,8.144e+02,2.300e+05
101.3,1.987e+05,2.671e+04,9.239e+02,2.263e+05
102.8,1.911e+05,2.933e+04,1.006e+03,2.214e+05
104.3,1.856e+05,3.228e+04,1.079e+03,2.189e+05
105.9,1.798e+05,3.752e+04,1.051e+03,2.184e+05
107.4,1.761e+05,4.457e+04,9.498e+02,2.216e+05
108.9,1.787e+05,5.316e+04,8.881e+02,2.328e+05
110.5,1.803e+05,6.361e+04,7.905e+02,2.447e+05
112.0,1.742e+05,7.298e+04,7.469e+02,2.479e+05
113.6,1.738e+05,8.802e+04,6.991e+02,2.625e+05
115.1,1.705e+05,1.057e+05,6.693e+02,2.769e+05
116.6,1.595e+05,1.195e+05,7.011e+02,2.796e+05
118.2,1.543e+05,1.331e+05,7.888e+02,2.882e+05
119.7,9.621e+04,1.089e+05,6.804e+02,2.058e+05
121.2,3.116e+04,5.479e+04,5.581e+02,8.651e+04
122.8,1.897e+04,3.855e+04,5.161e+02,5.804e+04
124.3,1.719e+04,3.828e+04,4.702e+02,5.595e+04
125.8,1.561e+04,3.658e+04,4.219e+02,5.261e+04
127.4,1.307e+04,3.569e+04,4.283e+02,4.919e+04
128.9,1.087e+04,2.951e+04,4.513e+02,4.083e+04
130.4,1.003e+04,2.899e+04,5.230e+02,3.955e+04
132.0,1.074e+04,3.155e+04,6.940e+02,4.298e+04
133.5,1.123e+04,3.407e+04,8.235e+02,4.613e+04
135.0,1.107e+04,3.741e+04,9.216e+02,4.940e+04
136.6,1.320e+04,3.388e+04,1.018e+03,4.810e+04
138.1,1.364e+04,3.177e+04,9.763e+02,4.638e+04
139.6,2.252e+04,3.675e+04,1.362e+03,6.063e+04
141.2,3.270e+04,5.953e+04,2.507e+03,9.473e+04
142.7,2.638e+04,7.615e+04,3.379e+03,1.059e+05
144.2,3.649e+04,1.063e+05,5.720e+03,1.485e+05
145.8,3.550e+04,1.592e+05,8.123e+03,2.028e+05
147.3,3.599e+04,1.180e+05,5.853e+03,1.598e+05
148.8,3.856e+04,1.619e+05,9.741e+03,2.102e+05
150.4,4.733e+04,1.676e+05,9.642e+03,2.246e+05
151.9,5.500e+04,1.290e+05,7.764e+03,1.917e+05
153.4,6.623e+04,1.316e+05,8.907e+03,2.067e+05
155.0,5.863e+04,7.252e+04,4.940e+03,1.361e+05
156.5,7.134e+04,8.768e+04,6.636e+03,1.657e+05
158.1,7.061e+04,5.442e+04,4.223e+03,1.293e+05
159.6,7.432e+04,4.179e+04,3.670e+03,1.198e+05
161.1,7.721e+04,3.321e+04,2.992e+03,1.134e+05
162.7,6.866e+04,1.791e+04,1.702e+03,8.827e+04
164.2,6.880e+04,1.721e+04,1.861e+03,8.787e+04
165.7,5.743e+04,8.283e+03,8.866e+02,6.660e+04
167.3,5.390e+04,6.551e+03,8.173e+02,6.127e+04
168.8,5.037e+04,4.334e+03,5.489e+02,5.525e+04
170.3,4.915e+04,2.529e+03,3.760e+02,5.206e+04
171.9,4.937e+04,2.450e+03,3.623e+02,5.218e+04
173.4,4.706e+04,2.335e+03,3.153e+02,4.971e+04
174.9,3.709e+04,2.085e+03,3.089e+02,3.948e+04
176.5,4.077e+04,2.705e+03,3.264e+02,4.380e+04
178.0,2.747e+04,1.967e+03,2.931e+02,2.973e+04
179.5,3.450e+04,1.647e+03,2.604e+02,3.640e+04
