freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.447e+01,4.131e+03,3.110e+01,4.176e+03
1.5,2.774e+01,2.428e+04,3.620e+01,2.435e+04
3.1,1.740e+01,7.898e+03,2.124e+01,7.937e+03
4.6,1.550e+01,2.809e+03,2.150e+01,2.846e+03
6.1,1.506e+01,1.589e+03,2.108e+01,1.625e+03
7.7,1.425e+01,9.909e+02,2.246e+01,1.028e+03
9.2,1.407e+01,7.576e+02,2.161e+01,7.933e+02
10.7,1.396e+01,4.705e+02,2.173e+01,5.061e+02
12.3,1.242e+01,4.825e+02,2.187e+01,5.167e+02
13.8,1.256e+01,4.410e+02,1.946e+01,4.730e+02
15.3,1.254e+01,4.660e+02,2.108e+01,4.996e+02
16.9,1.321e+01,4.421e+02,2.270e+01,4.780e+02
18.4,1.372e+01,1.767e+03,2.380e+01,1.805e+03
19.9,3.813e+01,2.161e+04,3.078e+01,2.168e+04
21.5,2.080e+02,6.006e+04,7.334e+01,6.034e+04
23.0,9.404e+02,8.026e+04,1.912e+02,8.139e+04
24.5,2.276e+03,7.957e+04,3.574e+02,8.220e+04
26.1,3.170e+03,7.131e+04,4.083e+02,7.489e+04
27.6,2.815e+03,5.848e+04,2.875e+02,6.158e+04
29.1,2.106e+03,5.029e+04,1.590e+02,5.256e+04
30.7,1.554e+03,5.417e+04,9.684e+01,5.582e+04
32.2,1.187e+03,7.983e+04,7.981e+01,8.109e+04
33.7,1.134e+03,1.227e+05,8.898e+01,1.239e+05
35.3,1.396e+03,1.955e+05,1.047e+02,1.970e+05
36.8,2.653e+03,3.629e+05,1.962e+02,3.657e+05
38.3,5.330e+03,7.172e+05,1.218e+03,7.238e+05
39.9,9.452e+03,1.249e+06,5.777e+03,1.264e+06
41.4,1.452e+04,1.554e+06,9.406e+03,1.578e+06
42.9,1.846e+04,1.442e+06,8.085e+03,1.469e+06
44.5,1.974e+04,1.089e+06,6.432e+03,1.115e+06
46.0,1.852e+04,7.089e+05,3.882e+03,7.313e+05
47.5,1.910e+04,5.495e+05,1.645e+03,5.702e+05
49.1,1.879e+04,4.552e+05,9.342e+02,4.749e+05
50.6,1.780e+04,3.765e+05,7.688e+02,3.951e+05
52.1,1.446e+04,3.094e+05,1.087e+03,3.249e+05
53.7,8.298e+03,2.414e+05,2.348e+03,2.520e+05
55.2,4.271e+03,1.998e+05,3.911e+03,2.080e+05
56.7,3.178e+03,1.592e+05,6.523e+03,1.689e+05
58.3,2.536e+03,1.332e+05,1.269e+04,1.484e+05
59.8,2.946e+03,1.155e+05,2.470e+04,1.432e+05
61.3,5.363e+03,1.031e+05,5.150e+04,1.600e+05
62.9,9.940e+03,9.408e+04,1.078e+05,2.118e+05
64.4,1.575e+04,1.094e+05,1.805e+05,3.057e+05
65.9,1.995e+04,1.729e+05,1.906e+05,3.835e+05
67.5,2.659e+04,1.520e+05,2.002e+05,3.788e+05
69.0,2.456e+04,1.173e+05,1.420e+05,2.839e+05
70.5,1.600e+04,9.940e+04,1.081e+05,2.235e+05
72.1,1.081e+04,7.988e+04,9.527e+04,1.860e+05
73.6,7.721e+03,6.480e+04,7.426e+04,1.468e+05
75.1,5.266e+03,5.534e+04,5.044e+04,1.110e+05
76.7,3.853e+03,5.131e+04,3.941e+04,9.457e+04
78.2,4.411e+03,5.136e+04,4.422e+04,1.000e+05
79.7,5.704e+03,5.072e+04,5.095e+04,1.074e+05
81.3,6.675e+03,4.949e+04,4.980e+04,1.060e+05
82.8,6.719e+03,4.389e+04,4.600e+04,9.661e+04
84.3,6.231e+03,3.470e+04,4.159e+04,8.252e+04
85.9,4.648e+03,2.422e+04,3.092e+04,5.979e+04
87.4,2.743e+03,1.733e+04,1.793e+04,3.801e+04
88.9,1.609e+03,1.463e+04,9.439e+03,2.568e+04
90.5,8.518e+02,1.358e+04,4.557e+03,1.898e+04
92.0,4.580e+02,1.190e+04,2.529e+03,1.489e+04
93.5,2.541e+02,1.094e+04,2.147e+03,1.334e+04
95.1,1.524e+02,1.061e+04,2.099e+03,1.286e+04
96.6,1.190e+02,1.081e+04,2.781e+03,1.371e+04
98.1,9.496e+01,1.103e+04,4.151e+03,1.527e+04
99.7,7.785e+01,1.054e+04,6.011e+03,1.663e+04
101.2,6.994e+01,9.665e+03,8.016e+03,1.775e+04
102.7,6.176e+01,8.686e+03,8.586e+03,1.733e+04
104.3,4.855e+01,7.313e+03,6.556e+03,1.392e+04
105.8,3.813e+01,6.612e+03,4.276e+03,1.093e+04
107.3,3.198e+01,6.128e+03,2.661e+03,8.821e+03
108.9,2.924e+01,5.647e+03,1.806e+03,7.482e+03
110.4,3.085e+01,5.059e+03,1.108e+03,6.197e+03
111.9,3.488e+01,4.976e+03,5.632e+02,5.574e+03
113.5,4.289e+01,4.979e+03,3.017e+02,5.324e+03
115.0,5.501e+01,5.360e+03,3.140e+02,5.729e+03
116.5,5.847e+01,6.575e+03,5.011e+02,7.135e+03
118.1,5.685e+01,7.122e+03,6.945e+02,7.873e+03
119.6,4.089e+01,4.271e+03,7.064e+02,5.018e+03
121.1,3.826e+01,1.637e+03,9.818e+02,2.657e+03
122.7,5.950e+01,1.117e+03,1.262e+03,2.438e+03
124.2,9.824e+01,8.362e+02,1.435e+03,2.369e+03
125.7,1.484e+02,8.109e+02,1.723e+03,2.682e+03
127.3,1.595e+02,6.639e+02,1.547e+03,2.371e+03
