freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.207e+00,1.516e+02,2.779e+01,1.816e+02
1.5,9.371e+00,9.399e+01,3.071e+01,1.341e+02
3.1,1.039e+01,1.247e+01,2.175e+01,4.461e+01
4.6,1.004e+01,1.351e+01,2.022e+01,4.376e+01
6.2,9.869e+00,1.342e+01,1.912e+01,4.241e+01
7.7,1.049e+01,1.327e+01,1.986e+01,4.362e+01
9.2,9.948e+00,1.318e+01,2.155e+01,4.468e+01
10.8,9.264e+00,1.381e+01,2.118e+01,4.425e+01
12.3,1.056e+01,1.366e+01,2.028e+01,4.451e+01
13.8,1.081e+01,1.478e+01,1.953e+01,4.511e+01
15.4,1.481e+01,1.490e+01,1.924e+01,4.895e+01
16.9,1.794e+01,1.847e+01,1.961e+01,5.602e+01
18.5,7.679e+01,1.021e+03,6.250e+01,1.160e+03
20.0,5.072e+02,8.317e+03,4.954e+02,9.319e+03
21.5,5.138e+02,9.088e+03,7.794e+02,1.038e+04
23.1,1.695e+02,7.793e+03,4.872e+02,8.450e+03
24.6,6.001e+01,1.147e+04,2.894e+02,1.182e+04
26.1,4.485e+01,1.685e+04,1.877e+02,1.708e+04
27.7,4.416e+01,2.367e+04,1.131e+02,2.382e+04
29.2,2.636e+01,3.294e+04,9.605e+01,3.306e+04
30.8,1.337e+01,4.689e+04,1.456e+02,4.705e+04
32.3,1.352e+01,6.552e+04,2.230e+02,6.576e+04
33.8,1.433e+01,9.131e+04,3.084e+02,9.164e+04
35.4,2.553e+01,1.361e+05,7.918e+02,1.369e+05
36.9,5.088e+01,1.551e+05,2.128e+03,1.573e+05
38.4,6.474e+01,1.165e+05,3.410e+03,1.200e+05
40.0,9.112e+01,8.225e+04,4.192e+03,8.653e+04
41.5,1.776e+02,7.115e+04,4.715e+03,7.604e+04
43.1,3.438e+02,9.239e+04,6.196e+03,9.893e+04
44.6,5.412e+02,1.619e+05,9.879e+03,1.723e+05
46.1,6.466e+02,2.965e+05,1.706e+04,3.142e+05
47.7,5.515e+02,4.177e+05,2.607e+04,4.443e+05
49.2,3.434e+02,4.193e+05,3.163e+04,4.513e+05
50.8,2.537e+02,3.295e+05,2.892e+04,3.587e+05
52.3,2.272e+02,2.156e+05,2.128e+04,2.371e+05
53.8,2.552e+02,1.382e+05,1.768e+04,1.561e+05
55.4,2.649e+02,9.921e+04,1.764e+04,1.171e+05
56.9,3.957e+02,7.752e+04,1.763e+04,9.555e+04
58.4,5.265e+02,6.504e+04,1.732e+04,8.289e+04
60.0,6.279e+02,6.072e+04,1.819e+04,7.954e+04
61.5,8.897e+02,5.484e+04,2.040e+04,7.613e+04
63.1,1.173e+03,4.703e+04,2.363e+04,7.184e+04
64.6,1.286e+03,4.078e+04,2.891e+04,7.098e+04
66.1,9.710e+02,3.518e+04,3.102e+04,6.718e+04
67.7,3.035e+02,3.583e+04,3.138e+04,6.752e+04
