freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.208e+02,9.037e+00,8.661e+00,4.385e+02
1.5,2.441e+02,1.496e+01,1.933e+01,2.784e+02
3.1,2.317e+01,1.170e+01,1.985e+01,5.472e+01
4.6,4.203e+02,1.129e+01,2.040e+01,4.520e+02
6.1,1.603e+03,1.173e+01,2.074e+01,1.635e+03
7.7,2.745e+03,1.290e+01,2.125e+01,2.779e+03
9.2,4.048e+03,1.383e+01,2.100e+01,4.082e+03
10.8,5.798e+03,1.368e+01,2.077e+01,5.832e+03
12.3,7.884e+03,1.338e+01,2.194e+01,7.920e+03
13.8,1.062e+04,1.851e+01,2.225e+01,1.067e+04
15.4,1.556e+04,6.029e+01,2.829e+01,1.564e+04
16.9,2.096e+04,3.942e+02,3.701e+01,2.139e+04
18.4,1.520e+04,8.899e+02,3.427e+01,1.612e+04
20.0,1.370e+04,1.435e+03,5.980e+01,1.519e+04
21.5,1.530e+04,1.575e+03,1.433e+02,1.702e+04
23.1,1.693e+04,5.133e+02,1.362e+02,1.758e+04
24.6,2.200e+04,9.344e+01,1.148e+02,2.221e+04
26.1,2.793e+04,3.171e+01,1.445e+02,2.810e+04
27.7,3.428e+04,1.695e+01,1.483e+02,3.444e+04
29.2,4.018e+04,1.457e+01,9.439e+01,4.029e+04
30.7,4.996e+04,1.694e+01,6.883e+01,5.004e+04
32.3,6.139e+04,2.841e+01,5.246e+01,6.147e+04
33.8,7.160e+04,4.555e+01,4.420e+01,7.169e+04
35.4,8.888e+04,5.710e+01,4.252e+01,8.898e+04
36.9,1.162e+05,7.444e+01,6.629e+01,1.164e+05
38.4,1.488e+05,1.016e+02,1.546e+02,1.491e+05
40.0,1.771e+05,2.046e+02,2.495e+02,1.775e+05
41.5,2.050e+05,3.743e+02,1.889e+02,2.055e+05
43.0,2.682e+05,1.052e+03,8.007e+02,2.701e+05
44.6,3.801e+05,4.516e+03,7.159e+03,3.917e+05
46.1,5.713e+05,1.527e+04,3.761e+04,6.242e+05
47.6,8.311e+05,2.134e+04,7.202e+04,9.245e+05
49.2,1.095e+06,9.521e+03,4.774e+04,1.152e+06
50.7,1.152e+06,1.796e+03,1.390e+04,1.168e+06
52.3,9.375e+05,1.984e+03,4.525e+03,9.440e+05
53.8,7.531e+05,2.838e+03,5.300e+03,7.612e+05
55.3,6.844e+05,2.906e+03,6.597e+03,6.939e+05
56.9,6.264e+05,2.819e+03,4.635e+03,6.339e+05
58.4,5.707e+05,3.349e+03,3.320e+03,5.774e+05
59.9,5.177e+05,3.674e+03,2.986e+03,5.243e+05
61.5,4.667e+05,3.597e+03,2.487e+03,4.728e+05
63.0,4.051e+05,3.418e+03,1.837e+03,4.104e+05
64.6,3.304e+05,3.305e+03,1.156e+03,3.349e+05
66.1,2.628e+05,3.961e+03,7.645e+02,2.676e+05
67.6,2.005e+05,4.281e+03,5.361e+02,2.053e+05
69.2,1.138e+05,2.400e+03,6.034e+02,1.168e+05
70.7,9.538e+04,1.060e+03,1.673e+03,9.812e+04
72.2,1.698e+05,7.406e+02,1.723e+03,1.722e+05
73.8,1.860e+05,1.137e+03,9.830e+02,1.881e+05
75.3,1.707e+05,1.535e+03,6.248e+02,1.729e+05
76.9,1.603e+05,1.923e+03,4.745e+02,1.627e+05
78.4,1.392e+05,2.166e+03,3.595e+02,1.417e+05
79.9,1.163e+05,2.190e+03,2.601e+02,1.187e+05
81.5,9.996e+04,2.236e+03,2.085e+02,1.024e+05
83.0,8.636e+04,2.304e+03,1.612e+02,8.883e+04
84.5,7.585e+04,2.376e+03,1.290e+02,7.836e+04
86.1,6.702e+04,2.512e+03,9.373e+01,6.963e+04
87.6,5.996e+04,2.676e+03,7.874e+01,6.271e+04
89.1,5.417e+04,3.071e+03,1.001e+02,5.734e+04
90.7,4.963e+04,3.703e+03,1.537e+02,5.349e+04
92.2,4.610e+04,4.406e+03,2.457e+02,5.075e+04
93.8,4.314e+04,4.679e+03,3.223e+02,4.814e+04
95.3,4.035e+04,5.304e+03,3.384e+02,4.599e+04
96.8,3.779e+04,7.161e+03,3.043e+02,4.525e+04
98.4,3.363e+04,9.431e+03,3.384e+02,4.340e+04
99.9,1.637e+04,1.042e+04,4.418e+02,2.724e+04
101.4,3.029e+03,1.050e+04,5.330e+02,1.406e+04
103.0,2.413e+03,1.015e+04,5.284e+02,1.309e+04
104.5,2.256e+03,9.274e+03,4.012e+02,1.193e+04
106.1,2.151e+03,8.890e+03,2.805e+02,1.132e+04
107.6,2.145e+03,9.270e+03,2.495e+02,1.166e+04
109.1,2.175e+03,1.031e+04,2.465e+02,1.273e+04
110.7,2.228e+03,1.170e+04,2.166e+02,1.415e+04
112.2,2.205e+03,1.313e+04,1.666e+02,1.550e+04
113.7,2.290e+03,1.532e+04,1.394e+02,1.775e+04
115.3,2.408e+03,1.780e+04,1.210e+02,2.033e+04
116.8,2.546e+03,2.059e+04,9.016e+01,2.322e+04
118.4,2.796e+03,2.332e+04,5.320e+01,2.617e+04
119.9,3.254e+03,2.627e+04,3.457e+01,2.956e+04
121.4,3.573e+03,2.869e+04,2.591e+01,3.229e+04
123.0,4.104e+03,3.130e+04,2.673e+01,3.543e+04
124.5,4.840e+03,3.379e+04,3.312e+01,3.866e+04
126.0,4.907e+03,3.406e+04,4.599e+01,3.902e+04
127.6,4.329e+03,3.123e+04,4.779e+01,3.560e+04
129.1,3.479e+03,2.567e+04,4.193e+01,2.919e+04
130.6,2.449e+03,1.907e+04,4.843e+01,2.157e+04
132.2,1.591e+03,1.297e+04,7.398e+01,1.464e+04
133.7,1.149e+03,8.570e+03,1.163e+02,9.835e+03
135.3,9.435e+02,5.605e+03,1.237e+02,6.672e+03
136.8,7.936e+02,2.966e+03,9.166e+01,3.851e+03
138.3,7.774e+02,1.492e+03,6.486e+01,2.335e+03
139.9,8.582e+02,1.513e+03,6.410e+01,2.436e+03
141.4,9.484e+02,2.510e+03,1.137e+02,3.572e+03
142.9,1.383e+03,5.287e+03,3.031e+02,6.973e+03
144.5,1.948e+03,9.933e+03,5.921e+02,1.247e+04
146.0,1.948e+03,1.242e+04,7.282e+02,1.510e+04
147.6,1.863e+03,1.168e+04,6.499e+02,1.419e+04
149.1,1.866e+03,9.182e+03,5.055e+02,1.155e+04
