freq,psd_x,psd_y,psd_z,psd_xyz
154.8,2.749e+01,6.054e+01,6.885e+01,1.569e+02
156.3,2.841e+01,6.586e+01,7.655e+01,1.708e+02
157.9,4.076e+01,6.368e+01,8.961e+01,1.940e+02
159.4,5.846e+01,4.876e+01,8.885e+01,1.961e+02
160.9,7.124e+01,4.451e+01,8.874e+01,2.045e+02
162.5,8.678e+01,4.391e+01,9.345e+01,2.241e+02
164.0,1.015e+02,4.521e+01,9.756e+01,2.443e+02
165.5,1.058e+02,5.909e+01,1.100e+02,2.749e+02
167.0,1.161e+02,7.007e+01,1.465e+02,3.327e+02
168.6,1.282e+02,7.673e+01,2.494e+02,4.543e+02
170.1,1.309e+02,8.270e+01,4.271e+02,6.407e+02
171.6,1.215e+02,8.018e+01,5.617e+02,7.634e+02
173.2,1.129e+02,7.972e+01,6.181e+02,8.107e+02
174.7,1.481e+02,7.471e+01,5.844e+02,8.072e+02
176.2,2.117e+02,7.570e+01,5.087e+02,7.962e+02
177.8,2.853e+02,8.711e+01,4.376e+02,8.100e+02
179.3,4.264e+02,9.714e+01,3.521e+02,8.757e+02
