freq,psd_x,psd_y,psd_z,psd_xyz
136.8,4.148e+02,2.906e+03,6.533e+01,3.386e+03
138.3,3.008e+02,2.389e+03,5.297e+01,2.743e+03
139.8,3.987e+02,2.001e+03,4.623e+01,2.446e+03
141.4,7.025e+02,1.670e+03,4.226e+01,2.414e+03
142.9,7.751e+02,1.064e+03,3.911e+01,1.878e+03
144.4,6.956e+02,9.803e+02,5.978e+01,1.736e+03
146.0,5.103e+02,1.882e+03,1.482e+02,2.540e+03
147.5,4.138e+02,5.070e+03,4.214e+02,5.905e+03
149.1,3.438e+02,1.025e+04,8.654e+02,1.146e+04
150.6,2.754e+02,1.538e+04,1.321e+03,1.697e+04
152.1,2.198e+02,1.755e+04,1.578e+03,1.935e+04
153.7,2.027e+02,1.809e+04,1.681e+03,1.997e+04
155.2,2.072e+02,1.764e+04,1.719e+03,1.957e+04
156.7,1.760e+02,1.520e+04,1.580e+03,1.696e+04
158.3,1.659e+02,1.175e+04,1.290e+03,1.321e+04
159.8,1.806e+02,8.342e+03,9.745e+02,9.497e+03
161.3,2.145e+02,6.048e+03,7.959e+02,7.058e+03
162.9,3.225e+02,4.660e+03,6.699e+02,5.652e+03
164.4,5.553e+02,3.794e+03,5.872e+02,4.937e+03
166.0,7.870e+02,2.856e+03,4.765e+02,4.120e+03
167.5,9.149e+02,1.725e+03,3.345e+02,2.975e+03
169.0,9.372e+02,8.420e+02,2.260e+02,2.005e+03
170.6,8.905e+02,4.706e+02,1.639e+02,1.525e+03
172.1,9.552e+02,3.645e+02,1.199e+02,1.440e+03
173.6,1.291e+03,2.506e+02,8.601e+01,1.628e+03
175.2,1.898e+03,2.574e+02,7.127e+01,2.227e+03
176.7,2.403e+03,2.653e+02,6.346e+01,2.732e+03
178.3,2.414e+03,2.174e+02,5.658e+01,2.688e+03
179.8,2.519e+03,1.632e+02,4.758e+01,2.729e+03
