freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.630e+03,2.565e+01,1.209e+02,4.777e+03
1.5,3.135e+03,3.795e+01,2.897e+02,3.463e+03
3.0,5.892e+02,3.970e+01,3.163e+02,9.452e+02
4.5,4.736e+02,4.756e+01,1.913e+02,7.125e+02
6.0,5.719e+02,4.011e+01,2.290e+02,8.410e+02
7.5,5.334e+02,4.438e+01,2.334e+02,8.112e+02
9.0,6.117e+02,4.544e+01,2.756e+02,9.327e+02
10.5,6.190e+02,4.603e+01,2.861e+02,9.512e+02
12.0,6.311e+02,4.343e+01,2.694e+02,9.439e+02
13.5,5.687e+02,4.183e+01,2.542e+02,8.648e+02
15.0,5.097e+02,4.496e+01,2.275e+02,7.821e+02
16.5,5.759e+02,4.276e+01,2.438e+02,8.624e+02
18.0,1.042e+03,4.255e+01,2.721e+02,1.357e+03
19.5,2.416e+04,6.375e+01,2.961e+02,2.452e+04
21.0,8.774e+04,9.538e+01,3.009e+02,8.813e+04
22.5,1.171e+05,5.756e+01,3.059e+02,1.174e+05
24.0,1.394e+05,4.491e+01,2.882e+02,1.398e+05
25.5,1.692e+05,4.906e+01,2.786e+02,1.695e+05
27.0,2.052e+05,6.791e+01,2.593e+02,2.055e+05
28.5,2.411e+05,8.666e+01,2.593e+02,2.415e+05
30.0,2.707e+05,8.989e+01,2.775e+02,2.711e+05
31.5,3.059e+05,9.231e+01,3.107e+02,3.063e+05
33.0,3.520e+05,9.267e+01,3.408e+02,3.524e+05
34.5,4.076e+05,1.049e+02,3.620e+02,4.081e+05
36.0,4.824e+05,1.601e+02,4.044e+02,4.830e+05
37.5,5.900e+05,1.754e+02,4.255e+02,5.906e+05
39.0,7.605e+05,2.280e+02,5.274e+02,7.612e+05
40.5,1.008e+06,3.030e+02,6.913e+02,1.009e+06
42.1,1.372e+06,3.424e+02,9.392e+02,1.374e+06
43.6,1.874e+06,4.325e+02,1.420e+03,1.876e+06
45.1,2.464e+06,5.511e+02,2.108e+03,2.467e+06
46.6,3.271e+06,6.954e+02,2.892e+03,3.274e+06
48.1,4.427e+06,1.949e+03,5.540e+03,4.435e+06
49.6,6.065e+06,7.775e+03,1.203e+04,6.084e+06
51.1,8.845e+06,2.786e+04,2.701e+04,8.900e+06
52.6,1.316e+07,7.437e+04,6.683e+04,1.330e+07
54.1,2.010e+07,1.177e+05,1.764e+05,2.039e+07
55.6,2.293e+07,9.793e+04,2.967e+05,2.333e+07
57.1,1.677e+07,7.462e+04,3.041e+05,1.714e+07
58.6,1.060e+07,6.905e+04,2.546e+05,1.092e+07
60.1,7.094e+06,5.731e+04,2.025e+05,7.354e+06
61.6,4.818e+06,3.692e+04,1.530e+05,5.008e+06
63.1,3.202e+06,2.235e+04,9.830e+04,3.322e+06
64.6,2.110e+06,1.441e+04,5.582e+04,2.181e+06
66.1,1.397e+06,1.131e+04,2.779e+04,1.436e+06
67.6,9.339e+05,9.263e+03,1.145e+04,9.546e+05
69.1,6.494e+05,8.902e+03,8.240e+03,6.665e+05
70.6,4.904e+05,9.582e+03,9.798e+03,5.098e+05
72.1,4.273e+05,1.009e+04,1.263e+04,4.500e+05
73.6,4.031e+05,9.391e+03,1.600e+04,4.284e+05
75.1,3.733e+05,7.879e+03,1.785e+04,3.990e+05
76.6,3.368e+05,6.041e+03,1.802e+04,3.608e+05
78.1,3.147e+05,4.840e+03,1.754e+04,3.370e+05
79.6,3.076e+05,3.925e+03,1.887e+04,3.304e+05
81.1,3.260e+05,2.226e+03,2.242e+04,3.507e+05
82.6,3.911e+05,3.227e+03,2.601e+04,4.203e+05
84.1,4.243e+05,7.120e+03,3.200e+04,4.634e+05
85.6,4.250e+05,1.472e+04,4.291e+04,4.826e+05
87.1,3.622e+05,2.138e+04,5.392e+04,4.375e+05
88.6,2.785e+05,3.200e+04,6.791e+04,3.784e+05
90.1,2.117e+05,4.687e+04,8.003e+04,3.386e+05
91.6,1.650e+05,6.230e+04,8.561e+04,3.129e+05
93.1,1.264e+05,6.951e+04,7.553e+04,2.715e+05
94.6,9.254e+04,5.704e+04,4.615e+04,1.957e+05
96.1,6.775e+04,3.778e+04,2.181e+04,1.273e+05
97.6,4.836e+04,2.637e+04,1.347e+04,8.820e+04
99.1,2.861e+04,1.790e+04,9.981e+03,5.649e+04
100.6,6.400e+03,4.053e+03,3.353e+03,1.381e+04
102.1,1.238e+03,7.217e+02,1.633e+03,3.593e+03
103.6,1.331e+03,8.405e+02,1.707e+03,3.879e+03
105.1,1.575e+03,1.038e+03,1.578e+03,4.191e+03
106.6,1.696e+03,1.233e+03,1.793e+03,4.722e+03
108.1,2.875e+03,1.769e+03,3.992e+03,8.635e+03
109.6,6.604e+03,2.589e+03,6.678e+03,1.587e+04
111.1,1.117e+04,3.286e+03,6.954e+03,2.141e+04
112.6,1.551e+04,3.472e+03,5.939e+03,2.492e+04
114.1,2.185e+04,2.997e+03,4.501e+03,2.935e+04
115.6,2.964e+04,2.409e+03,3.571e+03,3.562e+04
117.1,3.667e+04,2.020e+03,3.085e+03,4.178e+04
118.6,3.792e+04,1.996e+03,2.554e+03,4.247e+04
120.1,3.806e+04,2.194e+03,2.126e+03,4.238e+04
121.6,5.012e+04,2.017e+03,2.198e+03,5.434e+04
123.1,6.235e+04,1.452e+03,2.076e+03,6.588e+04
124.6,6.816e+04,1.563e+03,1.990e+03,7.171e+04
126.2,6.667e+04,2.050e+03,1.905e+03,7.062e+04
127.7,7.635e+04,2.098e+03,2.119e+03,8.057e+04
129.2,9.088e+04,2.159e+03,2.185e+03,9.522e+04
130.7,1.105e+05,2.117e+03,2.211e+03,1.148e+05
132.2,1.196e+05,1.877e+03,2.140e+03,1.236e+05
133.7,1.086e+05,1.600e+03,1.748e+03,1.120e+05
135.2,9.946e+04,1.363e+03,1.620e+03,1.024e+05
136.7,1.121e+05,1.263e+03,1.952e+03,1.153e+05
138.2,1.078e+05,1.112e+03,1.968e+03,1.108e+05
139.7,9.505e+04,1.057e+03,1.802e+03,9.791e+04
141.2,9.638e+04,1.279e+03,1.866e+03,9.952e+04
142.7,1.004e+05,1.393e+03,1.917e+03,1.037e+05
144.2,9.765e+04,1.310e+03,1.671e+03,1.006e+05
145.7,9.417e+04,1.199e+03,1.458e+03,9.683e+04
147.2,9.328e+04,1.119e+03,1.382e+03,9.578e+04
148.7,9.460e+04,1.016e+03,1.410e+03,9.702e+04
150.2,9.472e+04,9.609e+02,1.541e+03,9.722e+04
151.7,9.199e+04,9.335e+02,1.844e+03,9.477e+04
153.2,8.839e+04,9.610e+02,2.086e+03,9.144e+04
154.7,8.620e+04,9.351e+02,2.417e+03,8.956e+04
156.2,7.849e+04,8.407e+02,2.394e+03,8.173e+04
157.7,6.804e+04,8.336e+02,2.373e+03,7.125e+04
159.2,4.888e+04,8.870e+02,2.065e+03,5.184e+04
160.7,2.992e+04,1.024e+03,1.705e+03,3.265e+04
162.2,1.512e+04,1.051e+03,1.436e+03,1.760e+04
163.7,7.338e+03,1.386e+03,1.036e+03,9.760e+03
165.2,1.211e+04,1.453e+03,7.735e+02,1.434e+04
166.7,2.145e+04,1.195e+03,5.629e+02,2.320e+04
168.2,2.887e+04,1.435e+03,4.885e+02,3.079e+04
169.7,3.324e+04,1.933e+03,4.967e+02,3.567e+04
171.2,3.478e+04,2.130e+03,4.361e+02,3.734e+04
172.7,4.190e+04,2.306e+03,7.403e+02,4.495e+04
174.2,4.940e+04,2.875e+03,9.819e+02,5.326e+04
175.7,5.056e+04,3.151e+03,9.742e+02,5.469e+04
177.2,5.352e+04,3.282e+03,9.511e+02,5.776e+04
178.7,5.447e+04,3.374e+03,8.730e+02,5.872e+04
180.2,5.123e+04,3.399e+03,9.510e+02,5.558e+04
181.7,5.034e+04,3.562e+03,1.247e+03,5.515e+04
183.2,4.956e+04,4.587e+03,1.551e+03,5.570e+04
184.7,4.589e+04,5.341e+03,1.659e+03,5.289e+04
186.2,4.266e+04,5.872e+03,1.744e+03,5.027e+04
187.7,4.077e+04,6.554e+03,1.713e+03,4.904e+04
189.2,3.896e+04,7.341e+03,1.744e+03,4.804e+04
190.7,3.629e+04,8.284e+03,1.790e+03,4.636e+04
192.2,3.371e+04,9.878e+03,1.720e+03,4.531e+04
193.7,3.189e+04,1.020e+04,1.695e+03,4.379e+04
195.2,2.809e+04,1.016e+04,1.687e+03,3.993e+04
196.7,2.375e+04,1.020e+04,1.427e+03,3.538e+04
198.2,2.005e+04,9.567e+03,1.147e+03,3.077e+04
199.7,1.677e+04,8.739e+03,1.145e+03,2.665e+04
