freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.377e+01,5.913e+03,2.751e+02,6.252e+03
1.5,1.305e+02,3.358e+03,1.864e+02,3.675e+03
3.0,1.451e+02,3.147e+01,4.149e+01,2.181e+02
4.5,1.416e+02,4.964e+01,4.541e+01,2.366e+02
6.0,1.470e+02,4.492e+01,4.833e+01,2.403e+02
7.5,1.312e+02,4.360e+01,4.148e+01,2.163e+02
9.0,1.302e+02,4.063e+01,4.133e+01,2.121e+02
10.5,1.364e+02,4.249e+01,4.241e+01,2.213e+02
12.0,1.357e+02,4.390e+01,4.486e+01,2.244e+02
13.5,1.274e+02,4.387e+01,4.371e+01,2.149e+02
15.0,1.379e+02,4.763e+01,4.857e+01,2.341e+02
16.5,1.393e+02,5.001e+01,4.604e+01,2.354e+02
18.0,1.322e+02,2.808e+02,4.847e+01,4.615e+02
19.5,1.441e+02,1.811e+04,5.113e+01,1.831e+04
21.0,1.780e+02,7.234e+04,5.483e+01,7.257e+04
22.5,1.852e+02,1.055e+05,5.814e+01,1.058e+05
24.0,1.770e+02,1.365e+05,6.544e+01,1.368e+05
25.5,1.444e+02,1.746e+05,5.798e+01,1.748e+05
27.0,1.280e+02,2.231e+05,4.972e+01,2.232e+05
28.5,1.544e+02,2.836e+05,5.441e+01,2.838e+05
30.0,1.964e+02,3.507e+05,5.200e+01,3.510e+05
31.5,2.078e+02,4.331e+05,5.355e+01,4.333e+05
33.0,2.193e+02,5.441e+05,7.039e+01,5.444e+05
34.5,3.120e+02,7.012e+05,9.172e+01,7.016e+05
36.0,4.380e+02,9.102e+05,1.060e+02,9.108e+05
37.5,4.120e+02,1.227e+06,1.638e+02,1.227e+06
39.0,2.879e+02,1.695e+06,2.814e+02,1.695e+06
40.5,4.440e+02,2.588e+06,6.166e+02,2.589e+06
42.0,1.065e+03,4.248e+06,1.535e+03,4.251e+06
43.5,2.250e+03,6.423e+06,2.845e+03,6.428e+06
45.0,1.392e+04,9.455e+06,4.250e+03,9.473e+06
46.5,5.284e+04,1.582e+07,9.249e+03,1.588e+07
48.0,1.293e+05,2.408e+07,1.740e+04,2.423e+07
49.5,1.788e+05,2.492e+07,2.153e+04,2.512e+07
51.0,1.665e+05,2.056e+07,2.327e+04,2.075e+07
52.5,1.360e+05,1.624e+07,2.233e+04,1.640e+07
54.0,1.370e+05,1.266e+07,1.807e+04,1.282e+07
