freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.309e+03,3.216e+01,5.531e+01,4.396e+03
1.5,2.469e+04,2.922e+01,5.760e+01,2.477e+04
3.1,8.050e+03,1.214e+01,2.641e+01,8.089e+03
4.6,2.785e+03,1.334e+01,2.103e+01,2.820e+03
6.1,1.571e+03,1.480e+01,2.004e+01,1.605e+03
7.7,1.098e+03,1.407e+01,2.325e+01,1.135e+03
9.2,8.445e+02,1.241e+01,2.173e+01,8.787e+02
10.7,5.156e+02,1.340e+01,2.322e+01,5.522e+02
12.3,4.348e+02,1.488e+01,2.248e+01,4.721e+02
13.8,4.858e+02,1.545e+01,2.415e+01,5.254e+02
15.3,5.248e+02,1.402e+01,2.762e+01,5.664e+02
16.9,5.590e+02,1.715e+01,3.844e+01,6.146e+02
18.4,1.719e+03,3.279e+01,8.832e+01,1.840e+03
19.9,2.201e+04,8.021e+01,7.737e+01,2.217e+04
21.5,6.286e+04,4.289e+02,1.526e+02,6.345e+04
23.0,5.338e+04,6.871e+02,1.912e+02,5.426e+04
24.5,2.267e+04,2.431e+02,1.262e+02,2.304e+04
26.1,2.036e+04,7.790e+01,1.460e+02,2.059e+04
27.6,3.100e+04,1.446e+02,2.853e+02,3.143e+04
29.1,4.705e+04,2.158e+02,3.889e+02,4.765e+04
30.7,6.579e+04,3.769e+02,7.317e+02,6.690e+04
32.2,9.290e+04,8.467e+02,1.990e+03,9.574e+04
33.7,1.286e+05,1.430e+03,3.511e+03,1.335e+05
35.3,1.828e+05,2.677e+03,7.883e+03,1.933e+05
36.8,2.745e+05,5.232e+03,1.917e+04,2.989e+05
38.3,3.113e+05,9.338e+03,4.059e+04,3.613e+05
39.9,2.805e+05,1.903e+04,9.315e+04,3.927e+05
41.4,2.892e+05,3.007e+04,1.758e+05,4.950e+05
42.9,4.167e+05,2.689e+04,1.921e+05,6.357e+05
44.4,7.121e+05,1.902e+04,1.732e+05,9.043e+05
46.0,1.274e+06,8.905e+03,1.170e+05,1.400e+06
47.5,2.585e+06,2.977e+03,7.564e+04,2.664e+06
49.0,3.710e+06,8.859e+02,5.203e+04,3.763e+06
50.6,3.917e+06,7.271e+02,5.423e+04,3.971e+06
52.1,3.673e+06,7.510e+02,5.899e+04,3.733e+06
53.6,3.047e+06,1.023e+03,4.464e+04,3.092e+06
55.2,2.458e+06,2.180e+03,2.617e+04,2.486e+06
56.7,1.804e+06,3.459e+03,1.671e+04,1.824e+06
58.2,1.290e+06,4.948e+03,1.227e+04,1.307e+06
59.8,9.065e+05,7.298e+03,1.023e+04,9.241e+05
61.3,6.608e+05,1.016e+04,1.089e+04,6.818e+05
62.8,5.763e+05,9.997e+03,1.545e+04,6.017e+05
64.4,5.371e+05,4.694e+03,1.457e+04,5.564e+05
65.9,4.936e+05,2.705e+03,1.218e+04,5.085e+05
67.4,3.755e+05,2.737e+03,1.066e+04,3.889e+05
